"symbol"	"name"
"ACN9"	"SDHAF3 / Succinate Dehydrogenase Complex Assembly Factor 3"
"ACPL2"	"PXYLP1 / 2-Phosphoxylose Phosphatase 1"
"ADCK3"	"COQ8A / Coenzyme Q8A"
"ADCK4"	"COQ8B/ Coenzyme Q8B"
"ADRBK1"	"G Protein-Coupled Receptor Kinase 2"
"ADRBK2"	"G Protein-Coupled Receptor Kinase 3"
"ADSS"	"Adenylosuccinate Synthase"
"ADSSL1"	"Adenylosuccinate Synthase Like 1"
"AES"	"TLE5 / TLE Family Member 5, Transcriptional Modulator"
"AGPAT6"	"GPAT4 / Glycerol-3-Phosphate Acyltransferase 4"
"AIM1L"	"CRYBG2 / Crystallin Beta-Gamma Domain Containing 2"
"AL132709.5"	"ENSG00000201036 / SnoRNA"
"AL354822.1"	"LOC389834 / Ankyrin Repeat Domain 57 Pseudogene"
"AL591479.1"	"ENSG00000233765 / CDRT15 Protein Pseudogene"
"AL592284.1"	"ENSG00000231360 / Protein LOC642441"
"ALS2CR11"	"C2 Calcium Dependent Domain Containing 6"
"ALS2CR8"	"CARF / Calcium Responsive Transcription Factor"
"ANKRD32"	"SLF1 / SMC5-SMC6 Complex Localization Factor 1"
"AP001816.1"	"FLJ20021 / Uncharacterized LOC90024"
"AP006222.2"	"ENSG00000286448 / Novel Transcript"
"APITD1"	"CENPS-CORT Readthrough"
"APOA1BP"	"NAD(P)HX Epimerase"
"APOPT1"	"Cytochrome C Oxidase Assembly Factor 8"
"ASNA1"	"GET3 / Guided Entry Of Tail-Anchored Proteins Factor 3, ATPase"
"ASUN"	"INTS13 / Integrator Complex Subunit 13 / Spermatogenesis Associated 30"
"ATHL1"	"PGGHG / Protein-Glucosylgalactosylhydroxylysine Glucosidase"
"ATP5A1"	"ATP Synthase F1 Subunit Alpha"
"ATP5B"	"ATP Synthase F1 Subunit Beta"
"ATP5C1"	"ATP Synthase F1 Subunit Gamma"
"ATP5D"	"ATP Synthase F1 Subunit Delta"
"ATP5E"	"ATP Synthase F1 Subunit Epsilon"
"ATP5EP2"	"ATP Synthase F1 Subunit Epsilon Pseudogene 2"
"ATP5F1"	"ATP Synthase Peripheral Stalk-Membrane Subunit B"
"ATP5G1"	"ATP Synthase Membrane Subunit C Locus 1"
"ATP5G2"	"ATP Synthase Membrane Subunit C Locus 2"
"ATP5G3"	"ATP Synthase Membrane Subunit C Locus 3 "
"ATP5H"	"ATP Synthase Peripheral Stalk Subunit D"
"ATP5I"	"ATP Synthase Membrane Subunit E"
"ATP5J"	"ATP Synthase Peripheral Stalk Subunit F6"
"ATP5J2"	"ATP Synthase Membrane Subunit F"
"ATP5J2-PTCD1"	"ATP5MF-PTCD1 Readthrough"
"ATP5L"	"ATP Synthase Membrane Subunit G"
"ATP5L2"	"ATP Synthase Membrane Subunit G Like"
"ATP5O"	"ATP Synthase Peripheral Stalk Subunit OSCP"
"ATP5S"	"DMAC2L / Distal Membrane Arm Assembly Complex 2 Like"
"ATP5SL"	"DMAC2 / Distal Membrane Arm Assembly Complex 2"
"ATPBD4"	"DPH6 / Diphthamine Biosynthesis 6"
"ATPIF1"	"ATP Synthase Inhibitory Factor Subunit 1"
"AZI1"	"CEP131 / Centrosomal Protein 131"
"B3GALTL"	"B3GLCT / Beta 3-Glucosyltransferase"
"B3GNT1"	"B4GAT1 / Beta-1,4-Glucuronyltransferase 1"
"BAI3"	"ADGRB3 / Adhesion G Protein-Coupled Receptor B3"
"BAIAP2-AS1"	"BAIAP2 Divergent Transcript [BAIAP2 = Brain-Specific Angiogenesis Inhibitor 1-Associated Protein 2]"
"BMPR1B-AS1"	"BMPR1B Divergent Transcript [BMPR1B = Bone Morphogenetic Protein Receptor Type 1B]"
"BMS1P5"	"BMS1P1 / BMS1, Ribosome Biogenesis Factor Pseudogene 1"
"BMS1P6"	"BMS1P2 / BMS1 Pseudogene 2"
"BRE"	"BABAM2 / BRISC And BRCA1 A Complex Member 2"
"BSN-AS2"	"BSN Divergent Transcript [Bassoon Presynaptic Cytomatrix Protein]"
"BZRAP1-AS1"	"TSPOAP1, SUPT4H1 And RNF43 Antisense RNA 1 [TSPOAP1 = TSPO Associated Protein 1]"
"C10orf10"	"DEPP1 / DEPP1 Autophagy Regulator"
"C10orf11"	"LRMDA / Leucine Rich Melanocyte Differentiation Associated"
"C10orf118"	"CCDC186 / Coiled-Coil Domain Containing 186"
"C10orf137"	"EDRF1 / Erythroid Differentiation Regulatory Factor 1"
"C10orf2"	"TWNK / Twinkle MtDNA Helicase"
"C10orf32"	"BORCS7-ASMT / BORCS7-ASMT Readthrough (NMD Candidate)"
"C10orf32-AS3MT"	"BORCS7-ASMT / BORCS7-ASMT Readthrough (NMD Candidate)"
"C10orf35"	"FAM241B / Family With Sequence Similarity 241 Member B"
"C10orf54"	"VSIR / V-Set Immunoregulatory Receptor"
"C10orf70"	"CISD1 / CDGSH Iron Sulfur Domain 1"
"C10orf76"	"ARMH3 / Armadillo Like Helical Domain Containing 3"
"C11orf30"	"EMSY / EMSY Transcriptional Repressor, BRCA2 Interacting"
"C11orf31"	"Selenoprotein H"
"C11orf48"	"C11orf98 / Chromosome 11 Open Reading Frame 98"
"C11orf57"	"NKAPD1 / NKAP Domain Containing 1"
"C11orf63"	"JHY / Junctional Cadherin Complex Regulator"
"C11orf70"	"CFAP300 / Cilia And Flagella Associated Protein 300"
"C11orf73"	"Heat Shock Protein Nuclear Import Factor Hikeshi"
"C11orf82"	"DDIAS / DNA Damage Induced Apoptosis Suppressor"
"C11orf83"	"UQCC3 / Ubiquinol-Cytochrome C Reductase Complex Assembly Factor 3"
"C11orf84"	"SPINDOC / Spindlin Interactor And Repressor Of Chromatin Binding "
"C12orf23"	"TMEM263 / Transmembrane Protein 263"
"C12orf44"	"ATG101 / Autophagy Related 101"
"C12orf5"	"TIGAR / TP53 Induced Glycolysis Regulatory Phosphatase"
"C14orf1"	"Ergosterol Biosynthesis 28 Homolog"
"C14orf105"	"CCDC198 / Coiled-Coil Domain Containing 198"
"C14orf142"	"GON7 / GON7 Subunit Of KEOPS Complex"
"C14orf166"	"RNA Transcription, Translation And Transport Factor"
"C14orf169"	"RIOX1 / Ribosomal Oxygenase 1"
"C14orf2"	"ATP Synthase Membrane Subunit 6.8PL"
"C14orf23"	"LINC01551 / Long Intergenic Non-Protein Coding RNA 1551"
"C14orf79"	"CLBA1 / Clathrin Binding Box Of Aftiphilin Containing 1"
"C14orf80"	"TEDC1 / Tubulin Epsilon And Delta Complex 1"
"C15orf37"	"ST20-AS1 / ST20 Antisense RNA 1"
"C15orf38-AP3S2"	"ARPIN-AP3S2 / ARPIN-AP3S2 Readthrough"
"C15orf52"	"CCDC9B / Coiled-Coil Domain Containing 9B"
"C15orf57"	"CCDC32 / Coiled-Coil Domain Containing 32"
"C16orf13"	"Tripartite Motif Containing 31"
"C16orf3"	"GAS8 Antisense RNA 1"
"C16orf45"	"BMERB1 / BMERB Domain Containing 1"
"C16orf52"	"MOSMO / Modulator Of Smoothened"
"C16orf59"	"TEDC2 / Tubulin Epsilon And Delta Complex 2"
"C16orf62"	"VPS35L / VPS35 Endosomal Protein Sorting Factor Like"
"C16orf80"	"CFAP20 / Cilia And Flagella Associated Protein 20"
"C16orf88"	"KNOP1 / Lysine Rich Nucleolar Protein 1"
"C17orf103"	"NATD1 / N-Acetyltransferase Domain Containing 1"
"C17orf104"	"MEIOC / Meiosis Specific With Coiled-Coil Domain"
"C17orf59"	"BORCS6 / BLOC-1 Related Complex Subunit 6"
"C17orf62"	"Cytochrome B-245 Chaperone 1"
"C17orf70"	"FAAP100 / FA Core Complex Associated Protein 100"
"C17orf76-AS1"	"SNHG29 / Small Nucleolar RNA Host Gene 29"
"C17orf85"	"NCBP3 / Nuclear Cap Binding Subunit 3"
"C17orf89"	"NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 8"
"C18orf56"	"TYMSOS / TYMS Opposite Strand"
"C18orf8"	"RMC1 / Regulator Of MON1-CCZ1"
"C19orf10"	"MYDGF / Myeloid Derived Growth Factor"
"C19orf24"	"C19orf24 / Chromosome 19 Open Reading Frame 24"
"C19orf43"	"Telomerase RNA Component Interacting RNase"
"C19orf45"	"TEX45 / Testis Expressed 45"
"C19orf52"	"TIMM29 / Translocase Of Inner Mitochondrial Membrane 29"
"C19orf55"	"PROSER3 / Proline And Serine Rich 3"
"C19orf60"	"Required For Excision 1-B Domain Containing"
"C19orf66"	"SHFL / Shiftless Antiviral Inhibitor Of Ribosomal Frameshifting"
"C19orf68"	"ZSWIM9 / Zinc Finger SWIM-Type Containing 9"
"C19orf70"	"Mitochondrial Contact Site And Cristae Organizing System Subunit 13"
"C1orf123"	"CXXC Motif Containing Zinc Binding Protein"
"C1orf132"	"MIR29B2 And MIR29C Host Gene"
"C1orf145"	"OBSCN-AS1 / OBSCN Antisense RNA 1 [OBSCN=Obscurin, Cytoskeletal Calmodulin And Titin-Interacting RhoGEF]"
"C1orf151-NBL1"	"MICOS10-NBL1 / MICOS10-NBL1 Readthrough"
"C1orf172"	"KDF1 / Keratinocyte Differentiation Factor 1"
"C1orf173"	"ERICH3 / Glutamate Rich 3"
"C1orf233"	"FNDC10 / Fibronectin Type III Domain Containing 10"
"C1orf27"	"ODR4 / Odr-4 GPCR Localization Factor Homolog"
"C1orf51"	"CIART / Circadian Associated Repressor Of Transcription"
"C1orf63"	"RSRP1 / Arginine And Serine Rich Protein 1"
"C1orf85"	"GLMP / Glycosylated Lysosomal Membrane Protein"
"C1orf86"	"FAAP20 / FA Core Complex Associated Protein 20"
"C20orf111"	"OSER1 / Oxidative Stress Responsive Serine Rich 1"
"C20orf112"	"NOL4L / Nucleolar Protein 4 Like"
"C20orf112"	"NOL4L / Nucleolar Protein 4 Like"
"C20orf195"	"FNDC11 / Fibronectin Type III Domain Containing 11"
"C20orf196"	"SHLD1 / Shieldin Complex Subunit 1"
"C20orf24"	"RAB5 Interacting Factor"
"C20orf26"	"CFAP61 / Cilia And Flagella Associated Protein 61"
"C21orf119"	"URB1-AS1 / URB1 Antisense RNA 1 (Head To Head))"
"C21orf2"	"CFAP410 / Cilia And Flagella Associated Protein 410"
"C21orf33"	"Glutamine Amidotransferase Like Class 1 Domain Containing 3A"
"C21orf59"	"Cilia And Flagella Associated Protein 298"
"C22orf28"	"RTCB / RNA 2',3'-Cyclic Phosphate And 5'-OH Ligase"
"C22orf29"	"RTL10 / Retrotransposon Gag Like 10"
"C22orf32"	"SMDT1 / Single-Pass Membrane Protein With Aspartate Rich Tail 1"
"C2ORF15"	"Uncharacterized Protein C2orf15"
"C2orf47"	"Matrix AAA Peptidase Interacting Protein 1"
"C2orf54"	"MAB21L4 / Mab-21 Like 4"
"C2orf70"	"Chromosome 2 Open Reading Frame 70"
"C2orf71"	"PCARE / Photoreceptor Cilium Actin Regulator"
"C2orf82"	"SNORC / Secondary Ossification Center Associated Regulator Of Chondrocyte Maturation"
"C3orf17"	"NEPRO / Nucleolus And Neural Progenitor Protein"
"C3orf37"	"HMCES / 5-Hydroxymethylcytosine Binding, ES Cell Specific"
"C3orf58"	"DIPK2A / Divergent Protein Kinase Domain 2A"
"C3orf72"	"FOXL2NB / FOXL2 Neighbor"
"C4orf26"	"ODAPH / Odontogenesis Associated Phosphoprotein"
"C4orf27"	"HPF1 / Histone PARylation Factor 1"
"C4orf52"	"SMIM20 / Small Integral Membrane Protein 20"
"C5orf42"	"CPLANE1 / Ciliogenesis And Planar Polarity Effector 1"
"C5orf45"	"MRNIP / MRN Complex Interacting Protein"
"C5orf54"	"ZBED8 / Zinc Finger BED-Type Containing 8"
"C5orf55"	"EXOC3-AS1 / EXOC3 Antisense RNA 1"
"C5orf56"	"IRF1-AS1 / IRF1 Antisense RNA 1"
"C6orf1"	"Small Integral Membrane Protein 29"
"C6orf106"	"ILRUN / Inflammation And Lipid Regulator With UBA-Like And NBR1-Like Domains"
"C6orf13"	"Tripartite Motif Containing 31"
"C6orf170"	"TBC1D32 / TBC1 Domain Family Member 32"
"C6orf203"	"MTRES1 / Mitochondrial Transcription Rescue Factor 1"
"C6orf211"	"ARMT1 / Acidic Residue Methyltransferase 1"
"C6orf25"	"MPIG6B / Megakaryocyte And Platelet Inhibitory Receptor G6b"
"C6orf48"	"SNHG32 / Small Nucleolar RNA Host Gene 32"
"C7orf13"	"LINC01006"
"C7orf41"	"MTURN / Maturin, Neural Progenitor Differentiation Regulator Homolog"
"C7orf49"	"Cell Cycle Regulator Of NHEJ [Modulator Of Retrovirus Infection]"
"C7orf55"	"FMC1 / Formation Of Mitochondrial Complex V Assembly Factor 1"
"C7orf55-LUC7L2"	"FMC1-LUC7L2 / FMC1-LUC7L2 Readthrough"
"C7orf73"	"STMP1/Short Transmembrane Mitochondrial Protein 1"
"C8orf22"	"PPDPFL / Pancreatic Progenitor Cell Differentiation And Proliferation Factor Like"
"C8orf4"	"Transcriptional And Immune Response Regulator"
"C8orf46"	"VXN / Vexin"
"C8orf47"	"ERICH5 / Glutamate Rich 5"
"C8orf59"	"Ribosomal Biogenesis Factor"
"C9orf114"	"SPOUT1 / SPOUT Domain Containing Methyltransferase 1"
"C9orf123"	"DMAC1 / Distal Membrane Arm Assembly Complex 1"
"C9orf142"	"PAXX Non-Homologous End Joining Factor"
"C9orf172"	"AJM1 / Apical Junction Component 1 Homolog"
"C9orf173-AS1"	"STPG3-AS1 [STPG3 = Sperm-Tail PG-Rich Repeat Containing 3]"
"C9orf3"	"AOPEP / Aminopeptidase O (Putative)"
"C9orf37"	"ARRDC1-AS1 / ARRDC1 Antisense RNA 1"
"C9orf41-AS1"	"CARNMT1 Antisense RNA 1 [CARNMT = Carnosine N-Methyltransferase 1]"
"C9orf66"	"DOCK8-AS1 / DOCK8 Antisense RNA 1"
"C9orf69"	"TMEM250 / Transmembrane Protein 250"
"C9orf89"	"CARD19 / Caspase Recruitment Domain Family Member 19"
"C9orf9"	"SPACA9 / Sperm Acrosome Associated 9"
"C9orf91"	"TMEM268 / Transmembrane Protein 268"
"CAPN10-AS1"	"CAPN10 Divergent Transcript [CAPN10 = Calpain 10]"
"CARKD"	"NAXD / NAD(P)HX Dehydratase"
"CARS"	"Cysteinyl-TRNA Synthetase"
"CASC5"	"KLN1 / Kinetochore Scaffold 1"
"CASC7"	"AGO2 / Argonaute RISC Catalytic Component 2"
"CCBL2"	"KYAT3 / Kynurenine Aminotransferase 3"
"CCBP2"	"ACKR2 / Atypical Chemokine Receptor 2"
"CCDC101"	"SGF29 / SAGA Complex Associated Factor 29"
"CCDC104"	"CFAP36 / Cilia And Flagella Associated Protein 36"
"CCDC108"	"CFAP65 / Cilia And Flagella Associated Protein 65"
"CCDC109B"	"Mitochondrial Calcium Uniporter Dominant Negative Beta Subunit"
"CCDC129"	"ITPRID1 / ITPR Interacting Domain Containing 1"
"CCDC132"	"VPS50 / VPS50 Subunit Of EARP/GARPII Complex"
"CCDC163P"	"CCDC163 / Coiled-Coil Domain Containing 163"
"CCDC23"	"SVBP / Small Vasohibin Binding Protein"
"CCDC41"	"CEP83 / Centrosomal Protein 83"
"CCDC53"	"WASHC3 / WASH Complex Subunit 3"
"CCDC64B"	"BICD Family Like Cargo Adaptor 2"
"CCDC67"	"DEUP1 / Deuterosome Assembly Protein 1"
"CCDC74B-AS1"	"MED15P9 / Mediator Complex Subunit 15 Pseudogene 9"
"CCDC90A"	"MCUR1 / Mitochondrial Calcium Uniporter Regulator 1"
"CCDC94"	"YJU2 Splicing Factor Homolog "
"CD97"	"ADGRE5 / Adhesion G Protein-Coupled Receptor E5"
"CDIPT-AS1"	"CDIPTOSP / CDIP Transferase Opposite Strand, Pseudogene"
"CEB83-AS1"	""
"CEBPA-AS1"	"CEBPA-DT / CEBPA Divergent Transcript [CEBPA = CCAAT Enhancer Binding Protein Alpha]"
"CEBPZ-AS1"	"CEBPZOS / CEBPZ Opposite Strand"
"CECR1"	"ADA2 / Adenosine Deaminase 2"
"CECR5"	"Haloacid Dehalogenase Like Hydrolase Domain Containing 5"
"CELSR3-AS1"	"LINC02585 / Long Intergenic Non-Protein Coding RNA 2585 [CELSR = Cadherin EGF LAG Seven-Pass G-Type Receptor 3]"
"CGB"	"CGB3 / Chorionic Gonadotropin Subunit Beta 3"
"CIRH1A"	"UTP4 / UTP4 Small Subunit Processome Component"
"CNIH"	"CNIH1 / Cornichon Family AMPA Receptor Auxiliary Protein 1"
"COL4A3BP"	"CERT1 / Ceramide Transporter 1"
"CPSF3L"	"INTS11 / Integrator Complex Subunit 11"
"CRAMP1L"	"CRAMP1 / Cramped Chromatin Regulator Homolog 1"
"CRHR1-IT1"	"LINC02210 / Long Intergenic Non-Protein Coding RNA 2210"
"CSRP2BP"	"KAT14 / Lysine Acetyltransferase 14"
"CSTF3-AS1"	"CSTF3-DT / CSTF3 Divergent Transcript"
"CTA-29F11.1"	"ENSG00000260708 / Antisense / Novel Transcript, Antisense To TBC1D22A"
"CTB-178M22.2"	"ENSG00000253978 / Novel Transcript"
"CTB-31O20.2"	"ENSG00000261526 / LincRNA / Novel Transcript"
"CTB-50L17.10"	"CTB-50L17.10"
"CTBP1-AS1"	"CTBP1-DT / CTBP1 Divergent Transcript"
"CTC-338M12.4"	"ENSG00000233937 / Antisense / Novel Transcript, Antisense To TRIM52"
"CTC-444N24.11"	"ENSG00000268205 / LincRNA / Novel Transcript"
"CTC-524C5.2"	"ENSG00000263272 / Antisense / Novel Transcript, Antisense To RPAIN"
"CTC-534A2.2"	"SHLD3 / Shieldin Complex Subunit 3"
"CTD-2015H6.3"	"ENSG00000249042 / Antisense / Novel Transcript"
"CTD-2021H9.3"	"ENSG00000258053 / Uncharacterized protein / Novel Transcript"
"CTD-2034I4.2"	"ENSG00000259594 / LincRNA"
"CTD-2089N3.2"	"ENSG00000251573 / LincRNA / LINC02106 / Long Intergenic Non-Protein Coding RNA 2106"
"CTD-2186M15.3"	"ENSG00000272086 / LincRNA / Novel Transcript"
"CTD-2192J16.22"	"ENSG00000269242 / Glyco_hydro38C2 Domain-Containing Protein"
"CTD-2228K2.5"	"ENSG00000188242 / Uncharacterized protein / Novel Transcript, Antisense To EXOC3"
"CTD-2314G24.2"	"ENSG00000259663 / Antisense / LOC642366 / Uncharacterized LOC642366"
"CTD-2336O2.1"	"ENSG00000253982 / Antisense / Novel Transcript"
"CTD-2368P22.1"	"ENSG00000176593 / HCG1811579; Uncharacterized protein / Novel Transcript, Antisense To ZNF606"
"CTD-2619J13.13"	"LINC02560 / Long Intergenic Non-Protein Coding RNA 2560"
"CTD-3074O7.5"	"ENSG00000255517 / Antisense / Novel Transcript"
"CTD-3193O13.9"	"ENSG00000183248 / Protein FLJ22184 / PRR36 / Proline Rich 36"
"CTGF"	"CCN2 / Cellular Communication Network Factor 2"
"CTSL1"	"Cathepsin L"
"CTSL2"	"CTSV / Cathepsin V"
"CXorf36"	"DIPK2B / Divergent Protein Kinase Domain 2B"
"CXorf67"	"EZHIP / EZH Inhibitory Protein"
"CYBASC3"	"CYB561A3 / Cytochrome B561 Family Member A3"
"CYP2B7P1"	"CYP2B7P / Cytochrome P450 Family 2 Subfamily B Member 7, Pseudogene"
"CYR61"	"CCN1 / Cellular Communication Network Factor 1"
"DAK"	"TKFC / Triokinase And FMN Cyclase"
"DARS"	"Aspartyl-TRNA Synthetase"
"DCDC5"	"DCDC1 / Doublecortin Domain Containing 1"
"DDR1-AS1"	"DDR1-DT / DDR1 Divergent Transcript [DDR1 = Discoidin Domain Receptor Tyrosine Kinase 1]"
"DDX26B-AS1"	"INTS6L-AS1 / INTS6L Antisense RNA 1 [INTS6L = Integrator Complex Subunit 6 Like]"
"DFNA5"	"GSDME / Gasdermin E"
"DFNB31"	"WHRN / Whirlin"
"DGCR14"	"ESS2 / Ess-2 Splicing Factor Homolog"
"DIEXF"	"UTP25 / UTP25 Small Subunit Processor Component"
"DIRC2"	"SLC49A4 / Solute Carrier Family 49 Member 4"
"DKFZP434L187"	"LINC02249"
"DKFZp686O1327"	"TEX41 / Testis Expressed 41"
"DOCK9-AS2"	"DOCK9 Divergent Transcript [DOCK9 = Dedicator Of Cytokinesis 9]"
"DOPEY2"	"DOP1B / DOP1 Leucine Zipper Like Protein B"
"DPCR1"	"MUCL3 / Mucin Like 3"
"DSCR3"	"VPS26C / VPS26 Endosomal Protein Sorting Factor C"
"DSCR6"	"RIPPLY3 / Ripply Transcriptional Repressor 3"
"DYX1C1"	"DNAAF4 / Dynein Axonemal Assembly Factor 4"
"EBLN3"	"Endogenous Bornavirus Like Nucleoprotein 3, Pseudogene"
"EEF1E1-MUTED"	"EEF1E1-BLOC1S5 / EEF1E1-BLOC1S5 Readthrough (NMD Candidate)"
"EFHA1"	"MICU2 / Mitochondrial Calcium Uptake 2"
"EFTUD1"	"EFL1 / Elongation Factor Like GTPase 1"
"EIF3J-AS1"	"EIF3J-DT / EIF3J Divergent Transcript"
"ENTHD2"	"TEPSIN / TEPSIN Adaptor Related Protein Complex 4 Accessory Protein"
"EPT1"	"SELENOI / Selenoprotein I"
"ERBB2IP"	"ERBIN / Erbb2 Interacting Protein"
"ERO1L"	"ERO1A / Endoplasmic Reticulum Oxidoreductase 1 Alpha"
"ERO1LB"	"ERO1B / Endoplasmic Reticulum Oxidoreductase 1 Beta"
"FAM101A"	"RFLNA / Refilin A"
"FAM101B"	"RFLNB / Refilin B"
"FAM103A1"	"RAMAC / RNA Guanine-7 Methyltransferase Activating Subunit"
"FAM105A"	"OTULINL / OTU Deubiquitinase With Linear Linkage Specificity Like"
"FAM105B"	"OTULIN / OTU Deubiquitinase With Linear Linkage Specificity"
"FAM108A1"	"ABHD17A / Abhydrolase Domain Containing 17A"
"FAM108B1"	"ABHD17B / Abhydrolase Domain Containing 17B"
"FAM109A"	"PHETA1 / PH Domain Containing Endocytic Trafficking Adaptor 1"
"FAM109B"	"PHETA2 / PH Domain Containing Endocytic Trafficking Adaptor 2"
"FAM115A"	"TCAF1 / TRPM8 Channel Associated Factor 1"
"FAM115C"	"TCAF2 / TRPM8 Channel Associated Factor 2"
"FAM127A"	"Retrotransposon Gag Like 8C"
"FAM127B"	"RTL8A / Retrotransposon Gag Like 8A"
"FAM127C"	"RTL8B / Retrotransposon Gag Like 8B"
"FAM129A"	"NIBAN1 / Niban Apoptosis Regulator 1"
"FAM129B"	"NIBAN2 / Niban Apoptosis Regulator 2"
"FAM132A"	"C1QTNF12 / C1q And TNF Related 12"
"FAM132B"	"ERFE / Erythroferrone"
"FAM134A"	"Reticulophagy Regulator Family Member 2"
"FAM134B"	"RETREG1 / Reticulophagy Regulator 1"
"FAM134C"	"Reticulophagy Regulator Family Member 3"
"FAM13A"	"Family With Sequence Similarity 13 Member A"
"FAM150A"	"ALKAL1 / ALK And LTK Ligand 1"
"FAM153C"	"FAM153CP / Family With Sequence Similarity 153 Member C, Pseudogene"
"FAM173A"	"Family With Sequence Similarity 173 Member A"
"FAM173B"	"ATP Synthase C Subunit Lysine N-Methyltransferase"
"FAM175A"	"ABRAXAS1, BRCA1 A Complex Subunit"
"FAM175B"	"ABRAXAS2 / Abraxas 2, BRISC Complex Subunit"
"FAM178A"	"SLF2 / SMC5-SMC6 Complex Localization Factor 2"
"FAM179B"	"TOGARAM1 / TOG Array Regulator Of Axonemal Microtubules 1"
"FAM188A"	"MINDY3 / MINDY Lysine 48 Deubiquitinase 3"
"FAM188B"	"MINDY4 / MINDY Lysine 48 Deubiquitinase 4"
"FAM195A"	"MAPK Regulated Corepressor Interacting Protein 2"
"FAM195B"	"MCRIP1 / MAPK Regulated Corepressor Interacting Protein 1"
"FAM198A"	"GASK1A / Golgi Associated Kinase 1A"
"FAM19A2"	"TAFA2 / TAFA Chemokine Like Family Member 2"
"FAM19A5"	"TAFA5 / TAFA Chemokine Like Family Member 5"
"FAM206A"	"ABITRAM / Actin Binding Transcription Modulator"
"FAM208A"	"TASOR / Transcription Activation Suppressor"
"FAM212B-AS1"	"INKA2-AS1 / INKA2 Antisense RNA 1"
"FAM213A"	"Peroxiredoxin Like 2A"
"FAM213B"	"PRXL2B / Peroxiredoxin Like 2B"
"FAM21B"	"WASHC2A / WASH Complex Subunit 2A"
"FAM21C"	"WASHC2C / WASH Complex Subunit 2C"
"FAM27A"	"FAM27C / Family With Sequence Similarity 27 Member C"
"FAM35A"	"SHLD2 / Shieldin Complex Subunit 2"
"FAM45A"	"DENND10 / DENN Domain Containing 10"
"FAM46A"	"TENT5A / Terminal Nucleotidyltransferase 5A"
"FAM46D"	"TENT5D Gene / Terminal Nucleotidyltransferase 5D"
"FAM57A"	"TLCD3A / TLC Domain Containing 3A"
"FAM57B"	"TLCD3B / TLC Domain Ceramide Synthase 3B"
"FAM58A"	"CCNQ / Cyclin Q"
"FAM60A"	"SIN3-HDAC Complex Associated Factor"
"FAM63A"	"MINDY1 / MINDY Lysine 48 Deubiquitinase 1"
"FAM63B"	"MINDY2 / MINDY Lysine 48 Deubiquitinase 2"
"FAM64A"	"PIMREG / PICALM Interacting Mitotic Regulator"
"FAM65A"	"RIPOR1 / RHO Family Interacting Cell Polarization Regulator 1"
"FAM65B"	"RIPOR2 / RHO Family Interacting Cell Polarization Regulator 2"
"FAM69C"	"DIPK1C / Divergent Protein Kinase Domain 1C"
"FAM73A"	"MIGA1 / Mitoguardin 1"
"FAM73B"	"MIGA2 / Mitoguardin 2"
"FAM84A"	"LRATD1 / LRAT Domain Containing 1"
"FAM84B"	"LRATD2 / LRAT Domain Containing 2"
"FAM85A"	"FAM85A / Family With Sequence Similarity 85 Member A"
"FAM86A"	"EEF2KMT / Eukaryotic Elongation Factor 2 Lysine Methyltransferase"
"FAM92A1"	"FAM92A / Family With Sequence Similarity 92 Member A"
